iata,icao,airline
,WGS,Airwings oy
,XAK,Airkenya
,WPK,Air-Lift Associates
,VAB,Airtrans Ltd
,URP,ARP 410 Airlines
,WPR,Auckland Regional Rescue Helicopter Trust
,URR,Aurora Airlines
,UST,Austro Aéreo
,WLT,Aviation Partners
,VLV,Avialift Vladivostok
,VME,Aviación Comercial de América
,VVA,Aviast Air
,WLV,Aviation North
FK,WTA,Africa West
,VNT,Avient Air Zambia
,VZR,Aviazur
,VID,Aviaprad
G2,VXG,Avirex
,VXX,Aviaexpress Aircompany
,XAM,AMR Services Corporation
,XAO,Airline Operations Services
,VAZ,Airlines 400
V8,VAS,ATRAN Cargo Airlines
,VAM,Ameravia
K6,KHV,Angkor Air
,VBC,AVB-2004 Ltd
,XKX,ASECNA
,XAT,AT and T Aviation Division
,CAJ,Air Caraibes Atlantique
,CAO,Air China Cargo
,CBE,Aerovías Caribe
,CBO,Aerotaxi del Cabo
,CBS,Air Columbus
,CBV,Aereo Cabo
CA,CCA,Air China
,CDA,Aerocardal
Q6,CDP,Aero Condor Peru
,CDU,Aerotrans
,CDV,Airline Skol
,CFF,Aerofan
,CFR,Africa One
,CFV,Aero Calafia
,CGB,Air Cargo Belize
,CGV,Aero Clube Do Algarve
,CGW,Air Great Wall
,CHJ,Aircompany Chaika
,CHR,Air Charter Services
,CHV,Air Charter Professionals
,CID,Asia Continental Airlines
5F,CIR,Arctic Circle Air Service
,CKL,Aviation Charter Services
,CLL,Aerovías Castillo
,CLP,Aero Club De Portugal
,CMF,Air Care Alliance
,CNE,Air Toronto
,CNH,Aquila Air
,CNU,Air Consul
,CNX,AllCanada Express
,CPF,Airtechservice
QC,CRD,Air Corridor
NV,CRF,Air Central
,CRJ,Air Cruzal
,CRP,Aerotransportes Corporativos
YN,CRQ,Air Creebec
,CTA,Aero Charter and Transport
,CTE,Air Tenglong
,CTR,Aerolíneas Centauro
,CUO,Aerocuahonte
CV,CVA,Air Chathams
CW,CWM,Air Marshall Islands
,CWP,Australian Customs Service
,CYL,Air One Cityliner
,CYO,Air Transport
,CYE,Aerocheyenne
AH,DAH,Air Algérie
,DAP,Aerovías DAP
,DBA,Air Alpha
,DBD,Air Niagara Express
,DEF,Aviation Defense Service
,DEG,Air Service Groningen
ER,DHL,Astar Air Cargo
,DHM,Archer Aviation
,DIC,Aeromedica
,DIN,Aerodin
,DJU,Air Djibouti
EN,DLA,Air Dolomiti
,DLS,Aero Modelo
,DLU,Aerolíneas del Sur
,DMC,Aerodinamica de Monterrey
,DMI,Aeroservicios Dinamicos
,DML,Aerotaxis Dosmil
,DNA,Aerodespachos de El Salvador
,DNC,Aerodynamics Málaga
,DNJ,Aerodynamics Incorporated
,DRM,Airways Flight Training
6R,DRU,Alrosa Air Company
,DSK,Aero Algarve
,DST,Aex Air
